Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-01-02,300.29156494140625,300.3100698709436,298.1286038405854,299.062200102734,59151200
2020-01-03,298.0176696777344,299.15462263719553,296.80678163064766,296.8622399985499,77709700
2020-01-06,299.1546325683594,299.23782012297437,296.12275790914583,296.2429271131675,55653900
2020-01-07,298.3135681152344,299.06228454582055,297.86062034468495,298.5816075818695,40496400
2020-01-08,299.9032897949219,301.1326543607984,298.25795932903355,298.50752194380397,68296000
2020-01-09,301.93695068359375,302.01091399772645,300.8924374891986,301.48403116730316,48473300
2020-01-10,301.0680847167969,302.68568676179603,300.59668844562674,302.52856407431966,53029300
2020-01-13,303.1385803222656,303.14780457892977,301.2621634138756,301.69660615664253,47086800
2020-01-14,302.6763916015625,303.75785806141926,302.11252720941695,302.69486832260185,62832800
2020-01-15,303.36041259765625,304.12760558690024,302.50077958099183,302.58396714304945,72056600
2020-01-16,305.8838806152344,305.8838806152344,304.5250940213374,304.7561799848659,54050300
2020-01-17,306.8359375,307.0485185216617,305.81915367226685,306.6048515486395,95846000
2020-01-21,306.2350769042969,307.0485039278217,305.79140995236185,305.86534504144004,77742400
2020-01-22,306.27203369140625,307.7602416951701,306.11491106159474,307.10393736748716,48914900
2020-01-23,306.623291015625,307.0392569610288,304.4880593411779,305.6157597751538,51963000
2020-01-24,303.8966064453125,307.3721493663763,302.5932778499136,307.28896178055214,87578400
2020-01-27,299.02520751953125,300.5226399031406,298.2487621431684,298.59076482229733,84062500
2020-01-28,302.15875244140625,303.0461145736904,299.1176535001483,300.46718752343736,63834000
2020-01-29,301.9091796875,303.76711982764965,301.70582291490285,303.53603386827723,53888900
2020-01-30,302.88897705078125,303.1015862851458,299.0622082933638,299.8201487893357,75491800
2020-01-31,297.38909912109375,302.4175309428771,296.46475545104136,302.2603801071269,113845600
2020-02-03,299.5983581542969,301.4840277207744,298.7664542366194,298.8866234641568,69083000
2020-02-04,304.16448974609375,305.04262741201524,302.9258727601334,303.24939864803747,62573200
2020-02-05,307.6771240234375,307.8897332942469,305.65283665677237,307.13176445961125,65951100
2020-02-06,308.7123107910156,308.9064150643585,307.6215638156708,308.6475999636579,50359700
2020-02-07,307.06695556640625,308.72151030207755,306.51234376400515,307.64004408568707,64139400
2020-02-10,309.3593444824219,309.4240553118806,306.1333939781077,306.17037562475997,42070000
2020-02-11,309.8955078125,311.52233369965023,309.3593726178411,310.72741158108295,54864500
2020-02-12,311.8920593261719,312.1046403206261,310.9769398939677,311.346671727077,43992700
2020-02-13,311.55938720703125,312.5391895929225,310.17287120336545,310.4501631206025,54501900
2020-02-14,312.0584716796875,312.17864088676066,310.76439600492625,311.9752841229601,64582200
2020-02-18,311.2543029785156,312.12318842131,309.8492823261326,311.05094621086727,57226200
2020-02-19,312.7425231933594,313.42652867761126,311.9476009504437,312.2341453132378,48814700
2020-02-20,311.45758056640625,313.01972347331406,308.4349590062021,312.187791684327,74163400
2020-02-21,308.2502136230469,310.4039224960778,307.4182815468779,310.0896489554363,113788200
2020-02-24,298.0269775390625,308.3241540854473,296.9362302805282,298.6925062863302,161088400
2020-02-25,288.9960632324219,300.0512064094128,288.1087011448787,299.4319119035819,218913200
2020-02-26,287.9330749511719,294.0429735311321,287.1936112428159,290.41030940377,194773800
2020-02-27,275.00152587890625,287.98854465077966,275.00152587890625,282.3500419743186,284353500
2020-02-28,273.8460693359375,275.3527540569355,263.9371038974755,266.8580333291609,384975800
2020-03-02,285.7054138183594,285.7701246526575,272.1822598867154,275.64854904040135,238703600
2020-03-03,277.52496337890625,290.09604424286687,275.05698131967097,286.0843956820024,300139100
2020-03-04,289.190185546875,289.41204723914103,280.3811903276575,282.96011740865407,176613400
2020-03-05,279.5769348144531,285.132248429305,277.3123101022932,281.9062985522157,186366800
2020-03-06,274.955322265625,276.17546295563227,268.2723340760703,270.9714024050404,228667200
2020-03-09,253.48287963867188,262.68933850190564,252.761892406167,254.47190633607218,309417300
2020-03-10,266.5992126464844,266.69162444613045,252.8079927334266,263.1051947162144,276444100
2020-03-11,253.60293579101562,260.60947715989346,250.38623761894246,259.46329994536006,255316300
2020-03-12,229.33892822265625,246.48550759451427,228.9414530761527,236.63199984108374,392220700
2020-03-13,248.9442901611328,250.94087624380708,229.71793543719394,243.1856178734834,329566100
2020-03-16,221.70387268066406,237.46392365697218,219.40225147248137,222.93323755946798,297240000
2020-03-17,233.67410278320312,236.78915081117006,219.13417954726967,226.50118625756502,262070500
2020-03-18,221.84251403808594,229.57926720176667,210.7688791615743,218.37622475624084,327597100
2020-03-19,222.3139190673828,228.6641704731452,214.65111528136347,221.14925097368283,289322000
2020-03-20,212.73348999023438,227.30312877588696,212.45455338465345,225.49935480540947,347158800
2020-03-23,207.2942657470703,213.55167566820614,202.93359911441289,212.1663137671841,326025200
2020-03-24,226.07579040527344,226.95909193104146,217.38236402828767,217.95882255053317,235494500
2020-03-25,229.46022033691406,238.34892209621526,222.91458050323772,227.67504583682052,299430300
2020-03-26,242.8583221435547,244.34594606435087,231.5614971068861,231.998494436637,257632800
2020-03-27,235.6246795654297,242.49574834751454,233.42110706091626,235.48521833880488,224341200
2020-03-30,243.27670288085938,244.00192946486425,235.72690091029418,237.7445199132106,171369500
2020-03-31,239.65061950683594,244.83877562277493,238.22805828354515,242.26329712363395,194881100
2020-04-01,228.86512756347656,239.5668944478358,226.77312451742173,230.56662507674426,189554600
2020-04-02,234.14627075195312,234.9365744688214,227.41466500949954,227.97253814036205,177660400
2020-04-03,230.7619171142578,235.53168926429757,228.00047157342487,233.151442438216,135561200
2020-04-06,246.2612762451172,248.2510171182353,230.7432751448362,239.73423724585547,188061200
2020-04-07,246.51231384277344,255.71712038109936,246.2891759599012,254.95469478181445,201427200
2020-04-08,254.78738403320312,256.61905012743034,246.62392408080035,249.1436176788279,153774500
2020-04-09,258.66455078125,261.45388801451463,256.12624368412116,258.0880639183732,189999200
2020-04-13,256.30291748046875,258.0230145398482,252.3513561918489,257.67900080289377,114839100
2020-04-14,263.86199951171875,264.8940406177242,256.16343025953864,261.249322701019,134143400
2020-04-15,258.2554626464844,264.00149091377347,256.11695360269914,258.0788023401619,121775000
2020-04-16,259.5013732910156,260.3660611134384,256.39591425298136,259.5478508998996,131798300
2020-04-17,266.51190185546875,267.12553110795915,262.569619073019,265.34037107877293,146684800
2020-04-20,261.8165588378906,266.651422716813,261.59342087796335,262.7649235421949,100109300
2020-04-21,253.866943359375,258.515839774085,252.91855033102254,257.2978311833999,126385700
2020-04-22,259.5013732910156,261.2679480477334,257.4651546287888,258.8040389101053,92951600
2020-04-23,259.4826965332031,264.0014369789363,259.1758819649393,260.7936882558973,104709700
2020-04-24,263.0997009277344,263.7784501638666,258.94358551182376,261.0170039697432,85063200
2020-04-27,266.89306640625,268.0273979884122,264.63371011234995,265.09859963988185,77896600
2020-04-28,265.6658020019531,270.9376337985651,265.3589589981502,270.58431318793504,105270000
2020-04-29,272.6205749511719,274.1733188347815,270.01720431503736,271.05855256949116,118745600
2020-04-30,270.082275390625,272.7228449445646,268.3249790622534,271.2258856602544,122901700
2020-05-01,262.9322814941406,270.2496396361669,261.75144368939675,265.275314984306,125180000
2020-05-04,263.65753173828125,263.9643464327241,259.5293092380975,261.02624034140143,80873200
2020-05-05,266.0935363769531,268.93865872478136,263.7876735306755,266.51194840588573,79569900
2020-05-06,264.2897644042969,268.20412728840137,263.8527670009922,267.81363587457895,73632600
2020-05-07,267.4788513183594,269.43139315175324,266.967484150507,267.5439426668808,75250400
2020-05-08,271.90460205078125,272.37879847126607,269.50575608497076,270.6493945918903,76452400
2020-05-11,271.9603576660156,273.355026166867,269.5243412244651,269.95203161983727,79514200
2020-05-12,266.539794921875,273.5782013512031,266.400305353087,273.1598177686605,95870800
2020-05-13,261.8258972167969,267.0233609060157,259.3712658637757,265.97270559390967,144721100
2020-05-14,264.9591369628906,265.0892912750713,253.82037373115983,259.36187729781716,121977900
2020-05-15,266.17718505859375,266.2236626681943,261.58407359554036,262.541745025106,111146300
2020-05-18,274.284912109375,275.9120259947696,272.1464309241307,272.4718310015181,119703800
2020-05-19,271.4676513671875,275.4099063452101,271.44906599686874,273.68053054339833,95189300
2020-05-20,276.0793762207031,276.9533710816828,274.81488992160894,275.04733475964366,85861700
2020-05-21,274.1733703613281,276.7674629869103,273.0669305393801,275.9492525261806,78293900
2020-05-22,274.6940002441406,274.87066058212713,272.62988905126736,273.8850967884195,63958200
2020-05-26,278.07843017578125,280.9700590695235,274.71263304917125,280.7283073285125,88951400
2020-05-27,282.2158508300781,282.2530499391975,276.02351858090134,280.9048588860329,104817400
2020-05-28,281.6952819824219,285.29352392523583,281.01653276693713,283.25730465339865,90405200
2020-05-29,282.950439453125,283.5454834420559,278.44100423588,281.22103522436385,119090800
2020-06-01,284.093994140625,284.7076517547864,281.77885324939365,282.2995272781476,55758300
2020-06-02,286.4463806152344,286.49288660278665,283.6756565929607,285.0238194889779,74267200
2020-06-03,290.2584228515625,291.22540102788236,288.1757268175862,288.45464918834904,92567600
2020-06-04,289.49603271484375,291.0208841943324,287.3761373132049,289.2635879191614,75794400
2020-06-05,296.9156799316406,298.71014693910666,294.8887681291782,294.95385948168325,150524700
2020-06-08,300.504638671875,300.6998843524105,297.18532022972994,297.73388653430663,73641200
2020-06-09,298.2638854980469,300.57902668815314,296.9342796417474,297.80827438311485,77479200
2020-06-10,296.5995788574219,299.7515441146227,295.87435218203393,298.8496571128931,95000800
2020-06-11,279.50091552734375,290.2305755874608,278.94307069937685,289.58902566068906,209243600
2020-06-12,282.8481140136719,287.376134042086,277.6320664777444,286.59512294243626,194678900
2020-06-15,285.48876953125,286.632408472651,275.9027456462475,277.0928622104252,135782700
2020-06-16,290.98370361328125,293.47553354638995,286.0651918531277,293.326765462726,137627500
2020-06-17,289.7750244140625,292.313332156212,289.03118393807455,292.0157959658169,83398900
2020-06-18,289.8865966796875,290.3700717136035,287.7760078277726,288.240897490058,80828700
2020-06-19,288.22991943359375,293.59032911568903,286.25943707517774,293.39422421254534,135549600
2020-06-22,290.0789489746094,290.4805065865408,286.46487346827536,287.6228641629522,74649400
2020-06-23,291.4144287109375,293.7024240180244,291.00352319864857,292.75920520579564,68471200
2020-06-24,283.9807434082031,289.97620596157446,282.122349797961,289.35050004032456,132813500
2020-06-25,287.025146484375,287.2959769494308,281.35654486798745,283.4017238465558,89468000
2020-06-26,280.20794677734375,286.12871324946207,279.6196320611756,285.9139126867648,127961000
2020-06-29,284.3263244628906,284.46639939712236,279.1620195580416,281.4780296354258,79773300
